CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;Non-Critical_Error_Target_Plan;CDR_DTR_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;Critical_Error_Target_Plan;BurnRate_Planned_S0;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;Range_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;3.6140000000000025;2402.464799999996;8.710000000000003;0.0;3.6140000000000025;0.0;9509.224799999978;0.0;0.0;0.028639259999999993;1.41;0.3510000000000002;1.33;0.52;3.52;3.379999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.859999999999985;1.0;0.3274;7156.760000000006;5345.0;6.78;8.58;
1.0;3.753000000000003;2402.559599999996;9.045000000000003;0.0;3.753000000000003;0.0;9509.579599999977;0.0;0.0;0.028640769999999992;1.41;0.3645000000000002;1.33;0.52;3.52;3.509999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.969999999999985;1.0;0.3274;7157.020000000006;5345.0;6.78;8.91;
1.0;3.892000000000003;2402.654399999996;9.380000000000004;0.0;3.892000000000003;0.0;9509.934399999976;0.0;0.0;0.028642279999999992;1.41;0.3780000000000002;1.33;0.52;3.52;3.639999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.079999999999984;1.0;0.3274;7157.280000000006;5345.0;6.78;9.24;
1.0;4.031000000000003;2402.7491999999957;9.715000000000005;0.0;4.031000000000003;0.0;9510.289199999976;0.0;0.0;0.028643789999999992;1.41;0.39150000000000024;1.33;0.52;3.52;3.769999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.189999999999984;1.0;0.3274;7157.540000000006;5345.0;6.78;9.57;
1.0;4.1700000000000035;2402.8439999999955;10.050000000000006;0.0;4.1700000000000035;0.0;9510.643999999975;25.0;0.0;0.02864529999999999;1.41;0.40500000000000025;1.33;0.52;3.52;3.8999999999999977;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.299999999999983;1.0;0.3274;7157.800000000007;5344.8262;6.78;9.9;
1.0;4.309000000000004;2402.9387999999954;10.385000000000007;0.0;4.309000000000004;0.0;9510.998799999974;25.0;0.0;0.02864680999999999;1.41;0.41850000000000026;1.33;0.52;3.52;4.029999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.409999999999982;1.0;0.3274;7158.060000000007;5344.652400000001;6.78;10.23;
1.0;4.448000000000004;2403.033599999995;10.720000000000008;0.0;4.448000000000004;0.0;9511.353599999973;25.0;0.0;0.02864831999999999;1.41;0.4320000000000003;1.33;0.52;3.52;4.1599999999999975;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.519999999999982;1.0;0.3274;7158.320000000007;5344.478600000001;6.78;10.56;
1.0;4.587000000000004;2403.128399999995;11.055000000000009;0.0;4.587000000000004;0.0;9511.708399999972;25.0;0.0;0.02864982999999999;1.41;0.4455000000000003;1.33;0.52;3.52;4.289999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.62999999999998;1.0;0.3274;7158.580000000007;5344.304800000002;6.78;10.89;
1.0;4.726000000000004;2403.223199999995;11.39000000000001;0.0;4.726000000000004;0.0;9512.063199999971;25.0;0.0;0.02865133999999999;1.41;0.4590000000000003;1.33;0.52;3.52;4.419999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.73999999999998;1.0;0.3274;7158.840000000007;5344.131000000002;6.78;11.22;
1.0;4.865000000000005;2403.3179999999948;11.72500000000001;0.0;4.865000000000005;0.0;9512.41799999997;25.0;0.0;0.02865284999999999;1.41;0.4725000000000003;1.33;0.52;3.52;4.549999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.84999999999998;1.0;0.3274;7159.100000000008;5343.957200000003;6.78;11.55;
1.0;5.004000000000005;2403.4127999999946;12.060000000000011;0.0;5.004000000000005;0.0;9512.77279999997;25.0;0.0;0.02865435999999999;1.41;0.4860000000000003;1.33;0.52;3.52;4.679999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.95999999999998;1.0;0.3274;7159.360000000008;5343.783400000003;6.78;11.88;
1.0;5.143000000000005;2403.5075999999945;12.395000000000012;0.0;5.143000000000005;0.0;9513.127599999969;25.0;0.0;0.02865586999999999;1.41;0.49950000000000033;1.33;0.52;3.52;4.809999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.06999999999998;1.0;0.3274;7159.620000000008;5343.609600000003;6.78;12.21;
1.0;5.282000000000005;2403.6023999999943;12.730000000000013;0.0;5.282000000000005;0.0;9513.482399999968;25.0;0.0;0.02865737999999999;1.41;0.5130000000000003;1.33;0.52;3.52;4.939999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.17999999999998;1.0;0.3274;7159.880000000008;5343.435800000004;6.78;12.540000000000001;
1.0;5.421000000000006;2403.697199999994;13.065000000000014;0.0;5.421000000000006;0.0;9513.837199999967;25.0;0.0;0.02865888999999999;1.41;0.5265000000000003;1.33;0.52;3.52;5.069999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.289999999999978;1.0;0.3274;7160.1400000000085;5343.262000000004;6.78;12.870000000000001;
1.0;5.560000000000006;2403.791999999994;13.400000000000015;0.0;5.560000000000006;0.0;9514.191999999966;25.0;0.0;0.02866039999999999;1.41;0.5400000000000003;1.33;0.52;3.52;5.199999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.399999999999977;1.0;0.3274;7160.400000000009;5343.088200000005;6.78;13.200000000000001;
