CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;RangeObj_Plan;CDR_DTR_Plan;Non-Critical_Error_Target_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;BurnRate_Planned_S0;Critical_Error_Target_Plan;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;4.726000000000004;2403.223199999995;5200.0;0.0;11.39000000000001;4.726000000000004;0.0;9512.063199999971;25.0;0.0;2.5545900000000072;1.41;1.33;0.4590000000000003;0.52;3.52;4.419999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.73999999999998;1.0;1240.0;7158.840000000007;6.78;11.22;
1.0;4.865000000000005;2403.3179999999948;5200.0;0.0;11.72500000000001;4.865000000000005;0.0;9512.41799999997;25.0;0.0;2.5547250000000075;1.41;1.33;0.4725000000000003;0.52;3.52;4.549999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.84999999999998;1.0;1240.0;7159.100000000008;6.78;11.55;
1.0;5.004000000000005;2403.4127999999946;5200.0;0.0;12.060000000000011;5.004000000000005;0.0;9512.77279999997;25.0;0.0;2.5548600000000077;1.41;1.33;0.4860000000000003;0.52;3.52;4.679999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.95999999999998;1.0;1240.0;7159.360000000008;6.78;11.88;
1.0;5.143000000000005;2403.5075999999945;5200.0;0.0;12.395000000000012;5.143000000000005;0.0;9513.127599999969;25.0;0.0;2.554995000000008;1.41;1.33;0.49950000000000033;0.52;3.52;4.809999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.06999999999998;1.0;1240.0;7159.620000000008;6.78;12.21;
1.0;5.282000000000005;2403.6023999999943;5200.0;0.0;12.730000000000013;5.282000000000005;0.0;9513.482399999968;25.0;0.0;2.555130000000008;1.41;1.33;0.5130000000000003;0.52;3.52;4.939999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.17999999999998;1.0;1240.0;7159.880000000008;6.78;12.540000000000001;
1.0;5.421000000000006;2403.697199999994;5200.0;0.0;13.065000000000014;5.421000000000006;0.0;9513.837199999967;25.0;0.0;2.5552650000000083;1.41;1.33;0.5265000000000003;0.52;3.52;5.069999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.289999999999978;1.0;1240.0;7160.1400000000085;6.78;12.870000000000001;
1.0;5.560000000000006;2403.791999999994;5200.0;0.0;13.400000000000015;5.560000000000006;0.0;9514.191999999966;25.0;0.0;2.5554000000000086;1.41;1.33;0.5400000000000003;0.52;3.52;5.199999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.399999999999977;1.0;1240.0;7160.400000000009;6.78;13.200000000000001;
1.0;5.699000000000006;2403.886799999994;5200.0;0.0;13.735000000000015;5.699000000000006;0.0;9514.546799999966;25.0;0.0;2.5555350000000088;1.41;1.33;0.5535000000000002;0.52;3.52;5.3299999999999965;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.509999999999977;1.0;1240.0;7160.660000000009;6.78;13.530000000000001;
1.0;5.838000000000006;2403.9815999999937;5200.0;0.0;14.070000000000016;5.838000000000006;0.0;9514.901599999965;25.0;0.0;2.555670000000009;1.41;1.33;0.5670000000000002;0.52;3.52;5.459999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.619999999999976;1.0;1240.0;7160.920000000009;6.78;13.860000000000001;
1.0;5.9770000000000065;2404.0763999999936;5200.0;0.0;14.405000000000017;5.9770000000000065;0.0;9515.256399999964;25.0;0.0;2.555805000000009;1.41;1.33;0.5805000000000001;0.52;3.52;5.589999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;19.729999999999976;1.0;1240.0;7161.180000000009;6.78;14.190000000000001;
